datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2019-08-20T08:42:00Z,39,North Ke i Beach, , , , ,5.443728, , , 
2019-09-04T09:35:00Z,2,North Ke i Beach, , , ,13.4,7.296912, , , 
2020-06-04T07:00:00Z,36,North Ke i Beach,8, , ,9.8,1.786128,22.22504064,180,0
2020-06-09T08:36:00Z,7.7,North Ke i Beach,8, , ,9.7,1.472184,14.82205824,210,0.3429
2020-06-18T06:35:00Z,46,North Ke i Beach,8, , ,12.1,2.185416,0, ,0
2020-06-23T09:00:00Z,14,North Ke i Beach,11, , ,12.1,2.737104,14.82205824,200,0.05715
2020-06-29T11:13:00Z,2.9,North Ke i Beach,14, , ,12.6,1.72212,31.47876864,200,0.6096
2020-07-07T07:45:00Z,3.3,North Ke i Beach,12.2, , ,13.5,2.767584,0, ,0.127
2020-07-13T10:38:00Z,29,North Ke i Beach,16, , ,13.4,1.362456,12.97131264,20,0.0762
2020-07-20T08:00:00Z,31,North Ke i Beach,14, , ,14,2.688336,11.12056704,150, 
2020-07-27T10:00:00Z,1,North Ke i Beach,16, , ,14.8,1.901952,12.97131264,190,0.1016
2020-08-05T09:10:00Z,31,North Ke i Beach,15, , ,14.5,2.700528,11.12056704,210,0.0381
2020-08-11T06:00:00Z,42,North Ke i Beach,11, , ,12.3,1.459992,5.5522368,130,5.33E-04
2020-08-18T08:25:00Z,42,North Ke i Beach,13, , ,14.5,2.737104,12.97131264,210,0
